Model,Accuracy,F1-Score (Weighted),Precision (Weighted),Recall (Weighted)
Random Forest,0.7267441860465116,0.7158363881638757,0.7307884604396232,0.7267441860465116
Support Vector Machine (SVM),0.7209302325581395,0.704043198299575,0.716202934662237,0.7209302325581395
Logistic Regression,0.6918604651162791,0.6897341463864987,0.688029541169076,0.6918604651162791
Naïve Bayes,0.6511627906976745,0.6109037758997662,0.6511711665430764,0.6511627906976745
